0_Name_of_Disease,1_Disease_URL,2_Image_of_Disease_URL
Candida vulvovaginitis images,https://dermnetnz.org/topics/candida-vulvovaginitis-images,https://dermnetnz.org/assets/Uploads/1265-small2__FocusFillWzE1MCwxMTAsInkiLDYzXQ.jpg
"Candidiasis affecting the lips, mouth and face images",https://dermnetnz.org/topics/candida-affecting-the-lips-mouth-and-face-images,https://dermnetnz.org/assets/Uploads/1282-big2__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
"Candidosis affecting the lips, mouth and face images",https://dermnetnz.org/topics/candida-affecting-the-lips-mouth-and-face-images,https://dermnetnz.org/assets/Uploads/1282-big2__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Capillaritis images,https://dermnetnz.org/topics/capillaritis-images,https://dermnetnz.org/assets/Uploads/2509__FocusFillWzE1MCwxMTAsIngiLDdd.jpg
Cherry angioma images,https://dermnetnz.org/topics/cherry-angioma-images,https://dermnetnz.org/assets/Uploads/1317__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Chronic plaque psoriasis images,https://dermnetnz.org/topics/chronic-plaque-psoriasis-images,https://dermnetnz.org/assets/Uploads/dscn5640__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Clark nevus images,https://dermnetnz.org/topics/atypical-naevus-images,https://dermnetnz.org/assets/Uploads/604__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Clavus images,https://dermnetnz.org/topics/corn-clavus-images,https://dermnetnz.org/assets/Uploads/clavus11-s2__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Conditions affecting the ear images,https://dermnetnz.org/topics/conditions-affecting-the-ear-images,https://dermnetnz.org/assets/Uploads/keloid__FocusFillWzE1MCwxMTAsInkiLDBd.jpg
Contact allergic dermatitis of the arm and leg images,https://dermnetnz.org/topics/contact-allergic-dermatitis-of-the-arm-and-leg-images,https://dermnetnz.org/assets/Uploads/2452__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg
Contact allergic dermatitis of the face images,https://dermnetnz.org/topics/contact-allergic-dermatitis-of-the-face-images,https://dermnetnz.org/assets/Uploads/2443__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg
Contact allergic dermatitis of the hand images,https://dermnetnz.org/topics/contact-allergic-dermatitis-of-the-hand-images,https://dermnetnz.org/assets/Uploads/eczalllehma__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg
Contact allergic dermatitis of the torso images,https://dermnetnz.org/topics/contact-allergic-dermatitis-of-the-torso-images,https://dermnetnz.org/assets/Uploads/2484__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg
Contact irritant dermatitis images,https://dermnetnz.org/topics/contact-irritant-dermatitis-images,https://dermnetnz.org/assets/Uploads/2512__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
